ESPH1705148347 ESPH1704373126 USAM0071494672
CANM0000239301 CANH0000547099 CANM0000121004
CANM0000121004 CANH0000275653 CANM0000109964
CANM0000109964 CANH0000262773 CANM0000102407
CANM0000102407 CANH0000158233 CANM0000060722
CANM0000060722 CANH0000062684 CANM0000034149
CANM0000034149 00000000000000 00000000000000
CANH0000062684 00000000000000 00000000000000
CANH0000158233 00000000000000 00000000000000
CANH0000262773 CANH0000222556 CANM0000089990
CANM0000089990 CANH0000181488 CANM0000076455
CANM0000076455 00000000000000 00000000000000
CANH0000181488 00000000000000 00000000000000
CANH0000222556 00000000000000 00000000000000
CANH0000275653 CANH0000220257 CANM0000091391
CANM0000091391 CANH0000116954 CANM0000073356
CANM0000073356 00000000000000 00000000000000
CANH0000116954 00000000000000 00000000000000
CANH0000220257 CANH0000149462 CANM0000076129
CANM0000076129 00000000000000 00000000000000
CANH0000149462 00000000000000 00000000000000
CANH0000547099 CANH0000357236 CANM0000136380
CANM0000136380 CANH0000363043 CANM0000119713
CANM0000119713 CANH0000192683 CANM0000098537
CANM0000098537 CANH0000074815 CANM0000060722
CANH0000074815 CANH0000024147 CANM0000027040
CANM0000027040 00000000000000 00000000000000
CANH0000024147 00000000000000 00000000000000
CANH0000192683 CANH0000138154 CANM0000050440
CANM0000050440 CANH0000057524 CANM0000041792
CANM0000041792 00000000000000 00000000000000
CANH0000057524 00000000000000 00000000000000
CANH0000138154 CANH0000080015 CANM0000050440
CANH0000080015 00000000000000 00000000000000
CANH0000363043 CANH0000275649 CANM0000109964
CANH0000275649 00000000000000 00000000000000
CANH0000357236 CANH0000296551 CANM0000106260
CANM0000106260 CANH0000238354 CANM0000089990
CANH0000238354 00000000000000 00000000000000
CANH0000296551 CANH0000198818 CANM0000088889
CANM0000088889 CANH0000170266 CANM0000072547
CANM0000072547 00000000000000 00000000000000
CANH0000170266 CANH0000130252 CANM0000061158
CANM0000061158 CANH0000097557 CANM0000027533
CANM0000027533 00000000000000 00000000000000
CANH0000097557 00000000000000 00000000000000
CANH0000130252 00000000000000 00000000000000
CANH0000198818 00000000000000 00000000000000
CANH0000723716 CANH0000407672 CANM0000191881
CANM0000191881 CANH0000291696 USAM0000749574
USAM0000749574 00000000000000 00000000000000
CANH0000291696 00000000000000 00000000000000
CANH0000407672 CANH0000359067 CANM0000115346
CANH0000359067 00000000000000 00000000000000
USAH0003757944 USAH0002292061 USAM0001064446
USAM0001064446 00000000000000 00000000000000
USAH0002292061 00000000000000 00000000000000
USAH0006571518 USAH0005955019 USAM0001463154
USAM0001463154 USAH0004371013 USAM0001297600
USAM0001297600 USAH0003335572 USAM0001113350
USAM0001113350 USAH0002948519 USAM0001013415
USAH0002948519 00000000000000 00000000000000
USAH0003335572 USAH0003009001 USAM0001080616
USAM0001080616 00000000000000 00000000000000
USAH0003009001 00000000000000 00000000000000
USAH0004371013 USAH0003979220 USAM0001113350
USAH0003979220 USAH0002974448 USAM0001199465
USAM0001199465 USAH0003009001 USAM0000879145
USAM0000879145 00000000000000 CANM0000129946
CANM0000129946 CANH0000260278 CANM0000115346
CANH0000260278 CANH0000199198 CANM0000090024
CANM0000090024 00000000000000 00000000000000
CANH0000199198 00000000000000 00000000000000
USAH0002974448 00000000000000 00000000000000
USAH0005955019 USAH0005146823 USAM0001244009
USAM0001244009 USAH0003399995 USAM0000879145
USAH0003399995 USAH0002491853 USAM0001026263
USAM0001026263 00000000000000 00000000000000
USAH0002491853 00000000000000 00000000000000
USAH0005146823 USAH0004344149 USAM0001309603
USAM0001309603 USAH0003735428 USAM0001253140
USAM0001253140 USAH0003399994 USAM0000879145
USAH0003399994 USAH0002354013 USAM0001026263
USAH0002354013 USAH0002037409 CANM0000120608
CANM0000120608 00000000000000 00000000000000
USAH0002037409 00000000000000 USAM0000697789
USAH0003735428 USAH0002658134 USAM0001117035
USAM0001117035 USAH0002354013 USAM0001026263
USAH0002658134 00000000000000 00000000000000
USAH0004344149 USAH0003622021 USAM0001071988
USAM0001071988 00000000000000 00000000000000
USAH0003622021 USAH0003332283 USAM0001039201
USAM0001039201 00000000000000 00000000000000
USAH0003332283 00000000000000 00000000000000
USAH0010192628 USAH0008836004 USAM0001583197
USAM0001583197 USAH0005924244 USAM0001427381
USAM0001427381 USAH0004546976 USAM0001383926
USAM0001383926 USAH0003922839 CANM0000260753
CANM0000260753 CANH0001083846 CANM0000249633
CANM0000249633 CANH0000930258 CANM0000198998
CANM0000198998 CANH0000559938 CANM0000155159
CANM0000155159 CANH0000224416 CANM0000124590
CANM0000124590 CANH0000237079 USAM0000671030
USAM0000671030 USAH0001203409 USAM0000629472
USAM0000629472 USAH0001281792 USAM0000291065
USAM0000291065 USAH0000408956 USAM0000118202
USAM0000118202 00000000000000 00000000000000
USAH0000408956 00000000000000 00000000000000
USAH0001281792 00000000000000 USAM0000422078
USAM0000422078 00000000000000 USAM0000313447
USAH0001203409 00000000000000 00000000000000
CANH0000237079 CANH0000147243 CANM0000077654
CANM0000077654 00000000000000 00000000000000
CANH0000147243 CANH0000079015 CANM0000061158
CANH0000079015 00000000000000 00000000000000
CANH0000224416 CANH0000139003 CANM0000067919
CANH0000139003 CANH0000080748 CANM0000057887
CANM0000057887 00000000000000 00000000000000
CANH0000080748 00000000000000 00000000000000
CANH0000559938 CANH0000339144 CANM0000121004
CANH0000339144 CANH0000200936 CANM0000087266
CANM0000087266 CANH0000080187 CANM0000054257
CANM0000054257 00000000000000 00000000000000
CANH0000080187 00000000000000 00000000000000
CANH0000200936 CANH0000144470 CANM0000060247
CANM0000060247 CANH0000034321 00000000000000
CANH0000034321 00000000000000 00000000000000
CANH0000144470 00000000000000 00000000000000
CANH0000930258 CANH0000821242 CANM0000121004
CANH0000821242 CANH0000605815 CANM0000198998
CANH0000605815 CANH0000339144 CANM0000153998
CANM0000153998 00000000000000 00000000000000
CANH0001083846 CANH0000694211 CANM0000198998
CANH0000694211 CANH0000536533 CANM0000161439
CANM0000161439 CANH0000376876 CANM0000145297
CANM0000145297 CANH0000358643 CANM0000129946
CANH0000358643 CANH0000177627 CANM0000105420
CANH0000177627 CANH0000103655 CANM0000067919
CANH0000103655 00000000000000 00000000000000
CANH0000376876 00000000000000 00000000000000
CANH0000536533 CANH0000358150 CANM0000121004
CANH0000358150 00000000000000 00000000000000
USAH0003922839 USAH0003141551 USAM0001114116
USAM0001114116 USAH0002605751 USAM0001078849
USAM0001078849 00000000000000 CANM0000155159
USAH0002605751 USAH0001993103 USAM0000822717
USAM0000822717 00000000000000 00000000000000
USAH0001993103 00000000000000 00000000000000
USAH0003141551 USAH0002757116 USAM0000837641
USAM0000837641 USAH0001854367 USAM0000698462
USAM0000698462 USAH0001524728 USAM0000629472
USAH0001524728 00000000000000 00000000000000
USAH0001854367 00000000000000 00000000000000
USAH0002757116 USAH0002067640 USAM0000837641
USAH0002067640 00000000000000 00000000000000
USAH0004546976 USAH0004011314 USAM0001292927
USAM0001292927 CANH0000823583 CANM0000244626
CANM0000244626 CANH0000724610 CANM0000121004
CANH0000724610 CANH0000547099 CANM0000185336
CANM0000185336 CANH0000377167 CANM0000155159
CANH0000377167 00000000000000 00000000000000
CANH0000823583 00000000000000 CANM0000197964
CANM0000197964 CANH0000475599 CANM0000122443
CANM0000122443 CANH0000346953 CANM0000105420
CANH0000346953 CANH0000224416 CANM0000095679
CANH0000475599 CANH0000406602 CANM0000121004
CANH0000406602 CANH0000256896 CANM0000106260
CANH0000256896 00000000000000 00000000000000
USAH0004011314 USAH0003507676 USAM0001114116
USAH0003507676 USAH0002171788 USAM0000920584
USAM0000920584 00000000000000 00000000000000
USAH0002171788 00000000000000 00000000000000
USAH0005924244 USAH0005159522 USAM0001408215
USAM0001408215 USAH0004323604 USAM0001350230
USAM0001350230 USAH0003941045 USAM0001090258
USAM0001090258 00000000000000 USAM0000866178
USAM0000866178 00000000000000 USAM0000748393
USAM0000748393 00000000000000 00000000000000
USAH0003941045 USAH0003117529 USAM0001183930
USAM0001183930 USAH0002693630 USAM0000859213
USAM0000859213 USAH0001553599 USAM0000697789
USAH0001553599 USAH0001171877 USAM0000561783
USAM0000561783 USAH0000905402 USAM0000422078
USAH0000905402 00000000000000 00000000000000
USAH0001171877 00000000000000 00000000000000
USAH0002693630 00000000000000 00000000000000
USAH0003117529 00000000000000 00000000000000
USAH0004323604 USAH0003316216 USAM0001026115
USAM0001026115 USAH0002104594 USAM0000673525
USAM0000673525 00000000000000 00000000000000
USAH0002104594 00000000000000 00000000000000
USAH0003316216 USAH0002693630 USAM0000905995
USAM0000905995 00000000000000 00000000000000
USAH0005159522 USAH0003980363 USAM0001112211
USAM0001112211 USAH0002373582 USAM0000901195
USAM0000901195 USAH0002108540 USAM0000697789
USAH0002108540 USAH0001553599 USAM0000761980
USAM0000761980 00000000000000 00000000000000
USAH0002373582 USAH0001885230 USAM0000697789
USAH0001885230 00000000000000 00000000000000
USAH0003980363 USAH0003139039 USAM0001183930
USAH0003139039 00000000000000 00000000000000
USAH0008836004 USAH0008006503 USAM0001520161
USAM0001520161 USAH0005879716 USAM0001406271
USAM0001406271 USAH0004141507 USAM0001113350
USAH0004141507 USAH0003894850 USAM0000991741
USAM0000991741 USAH0001985748 USAM0000919417
USAM0000919417 00000000000000 USAM0000820334
USAM0000820334 00000000000000 00000000000000
USAH0001985748 USAH0001818545 00000000000000
USAH0001818545 00000000000000 00000000000000
USAH0003894850 USAH0002698793 USAM0001191055
USAM0001191055 00000000000000 00000000000000
USAH0002698793 USAH0002272539 00000000000000
USAH0002272539 00000000000000 00000000000000
USAH0005879716 USAH0004942014 USAM0001282936
USAM0001282936 USAH0003585032 USAM0001007680
USAM0001007680 USAH0002836831 CANM0000155159
USAH0002836831 00000000000000 00000000000000
USAH0003585032 USAH0003128667 USAM0000966470
USAM0000966470 00000000000000 00000000000000
USAH0003128667 00000000000000 00000000000000
USAH0004942014 USAH0003457745 USAM0001121706
USAM0001121706 USAH0002210077 USAM0000915469
USAM0000915469 USAH0002069899 CANM0000129946
USAH0002069899 00000000000000 00000000000000
USAH0002210077 00000000000000 00000000000000
USAH0003457745 USAH0002251966 USAM0000909229
USAM0000909229 00000000000000 00000000000000
USAH0002251966 00000000000000 00000000000000
USAH0008006503 USAH0006830844 USAM0001537570
USAM0001537570 USAH0005496871 USAM0001399824
USAM0001399824 USAH0004412249 USAM0001189870
USAH0004412249 USAH0003232005 USAM0001104074
USAM0001104074 USAH0002351674 USAM0000931354
USAM0000931354 USAH0001934437 USAM0000697789
USAH0001934437 00000000000000 00000000000000
USAH0002351674 USAH0001970023 USAM0000729449
USAH0001970023 USAH0001776871 USAM0000576187
USAM0000576187 00000000000000 00000000000000
USAH0001776871 00000000000000 00000000000000
USAH0003232005 USAH0002819249 USAM0001013423
USAM0001013423 USAH0002577039 USAM0000900520
USAM0000900520 00000000000000 00000000000000
USAH0002577039 00000000000000 00000000000000
USAH0002819249 USAH0002399335 USAM0000896771
USAM0000896771 00000000000000 00000000000000
USAH0002399335 00000000000000 00000000000000
USAH0005496871 USAH0004310766 USAM0001038509
USAM0001038509 USAH0002241235 USAM0000882933
USAM0000882933 USAH0001700947 USAM0000697789
USAH0001700947 USAH0001431342 USAM0000484493
USAM0000484493 USAH0000965327 USAM0000351430
USAM0000351430 00000000000000 00000000000000
USAH0000965327 00000000000000 00000000000000
USAH0001431342 00000000000000 00000000000000
USAH0002241235 USAH0002040366 USAM0000768203
USAM0000768203 USAH0001667872 USAM0000712061
USAM0000712061 00000000000000 00000000000000
USAH0001667872 00000000000000 00000000000000
USAH0002040366 USAH0001497440 USAM0000712061
USAH0001497440 00000000000000 00000000000000
USAH0004310766 XXXH0002913994 USAM0001024453
USAM0001024453 USAH0002365506 USAM0000859213
USAH0002365506 USAH0001961410 USAM0000697789
USAH0001961410 USAH0001730591 00000000000000
USAH0001730591 00000000000000 00000000000000
XXXH0002913994 00000000000000 00000000000000
USAH0006830844 USAH0004393568 USAM0001466428
USAM0001466428 USAH0004268445 USAM0001303347
USAM0001303347 USAH0003593770 USAM0001141276
USAM0001141276 USAH0002959074 USAM0001011980
USAM0001011980 USAH0001910493 USAM0000869783
USAM0000869783 USAH0001845208 USAM0000668530
USAM0000668530 USAH0001444161 CANM0000085650
CANM0000085650 00000000000000 00000000000000
USAH0001444161 00000000000000 00000000000000
USAH0001845208 00000000000000 00000000000000
USAH0001910493 USAH0001204769 USAM0000667915
USAM0000667915 USAH0000894462 USAM0000491950
USAM0000491950 00000000000000 00000000000000
USAH0000894462 00000000000000 00000000000000
USAH0001204769 00000000000000 00000000000000
USAH0002959074 USAH0002228461 USAM0000821505
USAM0000821505 00000000000000 00000000000000
USAH0002228461 00000000000000 00000000000000
USAH0003593770 USAH0002884251 USAM0001094305
USAM0001094305 00000000000000 USAM0000959466
USAM0000959466 USAH0002181827 USAM0000697789
USAH0002181827 00000000000000 00000000000000
USAH0002884251 00000000000000 00000000000000
USAH0004268445 USAH0003320724 USAM0001246708
USAM0001246708 USAH0002959074 USAM0001094305
USAH0003320724 USAH0002947789 USAM0001050668
USAM0001050668 00000000000000 00000000000000
USAH0002947789 00000000000000 00000000000000
USAH0004393568 USAH0004046658 USAM0001038118
USAM0001038118 00000000000000 USAM0000943367
USAM0000943367 00000000000000 USAM0000869327
USAM0000869327 00000000000000 00000000000000
USAH0004046658 USAH0002859937 USAM0000889181
USAM0000889181 USAH0002057733 CANM0000135962
USAH0002057733 00000000000000 00000000000000
USAH0002859937 00000000000000 00000000000000
USAH0012365669 USAH0009504018 USAM0001650414
USAM0001650414 USAH0006781299 USAM0001427381
USAH0006781299 USAH0006062344 USAM0001237057
USAM0001237057 USAH0002728655 USAM0001112030
USAM0001112030 USAH0002321007 USAM0000973771
USAM0000973771 USAH0002264136 USAM0000903186
USAM0000903186 USAH0002201620 CANM0000129946
USAH0002201620 00000000000000 00000000000000
USAH0002264136 USAH0002136599 USAM0000743127
USAM0000743127 00000000000000 00000000000000
USAH0002136599 00000000000000 00000000000000
USAH0002321007 USAH0002077234 USAM0000793004
USAM0000793004 00000000000000 00000000000000
USAH0002077234 USAH0001908502 USAM0000751640
USAM0000751640 00000000000000 00000000000000
USAH0001908502 00000000000000 00000000000000
USAH0002728655 USAH0002318212 USAM0000906111
USAM0000906111 00000000000000 USAM0000812000
USAM0000812000 00000000000000 00000000000000
USAH0002318212 USAH0001806210 USAM0000769170
USAM0000769170 USAH0001820953 USAM0000696612
USAM0000696612 00000000000000 00000000000000
USAH0001820953 00000000000000 00000000000000
USAH0001806210 USAH0001217672 USAM0000629444
USAM0000629444 00000000000000 00000000000000
USAH0001217672 00000000000000 00000000000000
USAH0006062344 USAH0004897376 USAM0001292880
USAM0001292880 USAH0002811265 USAM0001024453
USAH0002811265 USAH0002482700 00000000000000
USAH0002482700 00000000000000 00000000000000
USAH0004897376 USAH0003988436 USAM0001240095
USAM0001240095 USAH0002177529 USAM0001056882
USAM0001056882 USAH0002455636 USAM0000978750
USAM0000978750 00000000000000 00000000000000
USAH0002455636 00000000000000 00000000000000
USAH0002177529 00000000000000 00000000000000
USAH0003988436 USAH0003271505 USAM0001114036
USAM0001114036 USAH0002439460 USAM0000908805
USAM0000908805 00000000000000 00000000000000
USAH0002439460 00000000000000 00000000000000
USAH0003271505 00000000000000 00000000000000
USAH0009504018 USAH0008065393 USAM0001491007
USAH0008065393 USAH0007154917 USAM0001457932
USAM0001457932 USAH0005594456 USAM0001252985
USAM0001252985 USAH0003417595 USAM0001196645
USAM0001196645 USAH0002427878 USAM0001013415
USAH0002427878 USAH0001729724 00000000000000
USAH0001729724 USAH0001568204 00000000000000
USAH0001568204 00000000000000 00000000000000
USAH0003417595 USAH0003186458 USAM0000917165
USAM0000917165 USAH0002175411 USAM0000784293
USAM0000784293 USAH0001755955 USAM0000662443
USAM0000662443 USAH0003746214 USAM0000652247
USAM0000652247 USAH0003361344 USAM0000635862
USAM0000635862 USAH0003036691 USAM0000623330
USAM0000623330 USAH0002613513 USAM0000593883
USAM0000593883 USAH0002166445 USAM0000553236
USAM0000553236 USAH0001556679 USAM0000497574
USAM0000497574 USAH0001416139 USAM0000399447
USAM0000399447 00000000000000 00000000000000
USAH0001416139 00000000000000 00000000000000
USAH0001556679 USAH0001428817 USAM0000419248
USAM0000419248 00000000000000 00000000000000
USAH0001428817 00000000000000 00000000000000
USAH0002166445 USAH0001957163 USAM0000528622
USAM0000528622 USAH0001626809 USAM0000450389
USAM0000450389 00000000000000 00000000000000
USAH0001626809 USAH0001276363 00000000000000
USAH0001276363 00000000000000 00000000000000
USAH0001957163 USAH0001640136 USAM0000527704
USAM0000527704 00000000000000 00000000000000
USAH0001640136 00000000000000 00000000000000
USAH0002613513 USAH0002397469 USAM0000573846
USAM0000573846 USAH0001796768 USAM0000538481
USAM0000538481 USAH0001502800 USAM0000454316
USAM0000454316 00000000000000 00000000000000
USAH0001502800 USAH0001098500 USAM0000396681
USAM0000396681 00000000000000 00000000000000
USAH0001098500 00000000000000 00000000000000
USAH0001796768 00000000000000 00000000000000
USAH0002397469 USAH0002157824 USAM0000571382
USAM0000571382 USAH0001868596 USAM0000497574
USAH0001868596 USAH0001750482 USAM0000524199
USAM0000524199 USAH0001285267 USAM0000473956
USAM0000473956 00000000000000 00000000000000
USAH0001285267 USAH0001198446 USAM0000388705
USAM0000388705 00000000000000 00000000000000
USAH0001198446 00000000000000 00000000000000
USAH0001750482 USAH0001475680 USAM0000399447
USAH0001475680 USAH0001384596 USAM0000443467
USAM0000443467 00000000000000 00000000000000
USAH0001384596 USAH0001040282 00000000000000
USAH0001040282 00000000000000 00000000000000
USAH0002157824 USAH0001730086 USAM0000482807
USAM0000482807 00000000000000 00000000000000
USAH0001730086 USAH0001619840 USAM0000477339
USAM0000477339 00000000000000 00000000000000
USAH0001619840 00000000000000 00000000000000
USAH0003036691 USAH0002920852 USAM0000602658
USAM0000602658 USAH0002147377 USAM0000563805
USAM0000563805 USAH0001726368 USAM0000506147
USAM0000506147 USAH0001325229 00000000000000
USAH0001325229 USAH0001164054 00000000000000
USAH0001164054 00000000000000 00000000000000
USAH0001726368 USAH0001447061 USAM0000457631
USAM0000457631 USAH0040088733 00000000000000
USAH0040088733 00000000000000 00000000000000
USAH0001447061 00000000000000 00000000000000
USAH0002147377 USAH0002035709 USAM0000559928
USAM0000559928 00000000000000 00000000000000
USAH0002035709 USAH0001768467 USAM0000499411
USAM0000499411 00000000000000 00000000000000
USAH0001768467 00000000000000 00000000000000
USAH0002920852 USAH0002733549 USAM0000596832
USAM0000596832 USAH0002095421 USAM0000553236
USAH0002095421 USAH0001875664 USAM0000535171
USAM0000535171 USAH0001360659 USAM0000399447
USAH0001360659 00000000000000 00000000000000
USAH0001875664 USAH0001420321 USAM0000500929
USAM0000500929 00000000000000 00000000000000
USAH0001420321 USAH0001227238 USAM0000413575
USAM0000413575 00000000000000 00000000000000
USAH0001227238 00000000000000 00000000000000
USAH0002733549 USAH0002468412 USAM0000592073
USAM0000592073 USAH0001652984 USAM0000502323
USAM0000502323 00000000000000 00000000000000
USAH0001652984 USAH0001452503 USAM0000465966
USAM0000465966 00000000000000 00000000000000
USAH0001452503 00000000000000 00000000000000
USAH0002468412 USAH0002330094 USAM0000588388
USAM0000588388 00000000000000 00000000000000
USAH0002330094 00000000000000 00000000000000
USAH0003361344 USAH0003223286 USAM0000630622
USAM0000630622 USAH0002854143 USAM0000596832
USAH0002854143 USAH0002770051 USAM0000602658
USAH0002770051 USAH0002284122 USAM0000571382
USAH0002284122 USAH0001904314 USAM0000538390
USAM0000538390 USAH0001478131 USAM0000417214
USAM0000417214 00000000000000 00000000000000
USAH0001478131 00000000000000 00000000000000
USAH0001904314 USAH0001703899 USAM0000417214
USAH0001703899 00000000000000 00000000000000
USAH0003223286 USAH0003136726 USAM0000622771
USAM0000622771 USAH0002630361 USAM0000604694
USAM0000604694 USAH0001855112 USAM0000534585
USAM0000534585 USAH0001424440 USAM0000488392
USAM0000488392 00000000000000 00000000000000
USAH0001424440 USAH0001148518 USAM0000395593
USAM0000395593 00000000000000 00000000000000
USAH0001148518 00000000000000 00000000000000
USAH0001855112 USAH0001663025 USAM0000503523
USAM0000503523 00000000000000 00000000000000
USAH0001663025 GBRH0000053931 GBRM0000007551
GBRM0000007551 00000000000000 00000000000000
GBRH0000053931 00000000000000 00000000000000
USAH0002630361 USAH0002398734 USAM0000546137
USAM0000546137 USAH0001402851 USAM0000460497
USAM0000460497 00000000000000 00000000000000
USAH0001402851 00000000000000 00000000000000
USAH0002398734 USAH0002121412 USAM0000574470
USAM0000574470 USAH0001860681 USAM0000473215
USAM0000473215 00000000000000 00000000000000
USAH0001860681 USAH0001692383 USAM0000518291
USAM0000518291 00000000000000 00000000000000
USAH0001692383 USAH0001433956 USAM0000458311
USAM0000458311 00000000000000 00000000000000
USAH0001433956 00000000000000 00000000000000
USAH0002121412 USAH0001967458 USAM0000530240
USAM0000530240 USAH0001627253 USAM0000480642
USAM0000480642 00000000000000 00000000000000
USAH0001627253 00000000000000 00000000000000
USAH0001967458 USAH0001578993 USAM0000518291
USAH0001578993 00000000000000 00000000000000
USAH0003136726 USAH0002962252 USAM0000613173
USAM0000613173 USAH0002614136 USAM0000591179
USAM0000591179 USAH0001728247 USAM0000539252
USAM0000539252 USAH0001685088 USAM0000454316
USAH0001685088 USAH0001447846 USAM0000396681
USAH0001447846 USAH0001000270 USAM0000409293
USAM0000409293 00000000000000 00000000000000
USAH0001000270 00000000000000 00000000000000
USAH0001728247 00000000000000 00000000000000
USAH0002614136 USAH0002350998 USAM0000552298
USAM0000552298 USAH0001820501 USAM0000533617
USAM0000533617 USAH0001556677 USAM0000500929
USAH0001556677 00000000000000 00000000000000
USAH0001820501 00000000000000 00000000000000
USAH0002350998 USAH0002242080 USAM0000587463
USAM0000587463 USAH0002004622 USAM0000557777
USAM0000557777 USAH0001950627 USAM0000502114
USAM0000502114 00000000000000 00000000000000
USAH0001950627 00000000000000 00000000000000
USAH0002004622 USAH0001950625 USAM0000502114
USAH0001950625 00000000000000 00000000000000
USAH0002242080 USAH0002004640 USAM0000538759
USAM0000538759 USAH0001603336 USAM0000464614
USAM0000464614 00000000000000 00000000000000
USAH0001603336 00000000000000 00000000000000
USAH0002004640 USAH0001950647 USAM0000443914
USAM0000443914 00000000000000 00000000000000
USAH0001950647 USAH0001950631 USAM0000502114
USAH0001950631 00000000000000 00000000000000
USAH0002962252 USAH0002905422 USAM0000590317
USAM0000590317 USAH0001885524 USAM0000534585
USAH0001885524 USAH0001773696 USAM0000527980
USAM0000527980 USAH0001424440 USAM0000499818
USAM0000499818 00000000000000 00000000000000
USAH0001773696 USAH0001425263 USAM0000495188
USAM0000495188 00000000000000 00000000000000
USAH0001425263 USAH0001272290 USAM0000427650
USAM0000427650 00000000000000 00000000000000
USAH0001272290 00000000000000 00000000000000
USAH0002905422 USAH0002765534 USAM0000602658
USAH0002765534 USAH0002634899 USAM0000591619
USAM0000591619 USAH0002017445 USAM0000580702
USAM0000580702 USAH0001870803 USAM0000506147
USAH0001870803 USAH0001285011 USAM0000473256
USAM0000473256 00000000000000 00000000000000
USAH0001285011 00000000000000 00000000000000
USAH0002017445 USAH0001691216 USAM0000539871
USAM0000539871 USAH0001373372 USAM0000448354
USAM0000448354 00000000000000 00000000000000
USAH0001373372 00000000000000 00000000000000
USAH0001691216 00000000000000 00000000000000
USAH0002634899 USAH0002168247 USAM0000534381
USAM0000534381 USAH0001499159 USAM0000452342
USAM0000452342 00000000000000 00000000000000
USAH0001499159 00000000000000 00000000000000
USAH0002168247 00000000000000 00000000000000
USAH0003746214 00000000000000 USAM0000640211
USAM0000640211 USAH0003165724 USAM0000620738
USAM0000620738 USAH0002728961 USAM0000596832
USAH0002728961 USAH0002380024 USAM0000577474
USAM0000577474 USAH0001563732 USAM0000480642
USAH0001563732 00000000000000 00000000000000
USAH0002380024 USAH0002126530 USAM0000582755
USAM0000582755 USAH0002134944 USAM0000568208
USAM0000568208 USAH0001546856 USAM0000533617
USAH0001546856 00000000000000 00000000000000
USAH0002134944 USAH0002029163 USAM0000553233
USAM0000553233 USAH0001345382 USAM0000497574
USAH0001345382 00000000000000 00000000000000
USAH0002029163 00000000000000 00000000000000
USAH0002126530 USAH0001878877 USAM0000502323
